
                            < M A T L A B (R) >
                  Copyright 1984-2008 The MathWorks, Inc.
                         Version 7.6.0.324 (R2008a)
                             February 10, 2008

 
  To get started, type one of these: helpwin, helpdesk, or demo.
  For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>   f101 in 20-D, instance 1: FEs=1823, fbest-ftarget=-3.0145e-10, elapsed time [h]: 0.00
  f101 in 20-D, instance 2: FEs=1600, fbest-ftarget=-1.7903e-09, elapsed time [h]: 0.00
  f101 in 20-D, instance 3: FEs=1422, fbest-ftarget=-1.6551e-09, elapsed time [h]: 0.00
  f101 in 20-D, instance 4: FEs=1524, fbest-ftarget=-2.9641e-10, elapsed time [h]: 0.00
  f101 in 20-D, instance 5: FEs=1550, fbest-ftarget=-5.0103e-10, elapsed time [h]: 0.00
  f101 in 20-D, instance 6: FEs=1618, fbest-ftarget=-4.3661e-10, elapsed time [h]: 0.00
  f101 in 20-D, instance 7: FEs=1656, fbest-ftarget=-2.8115e-10, elapsed time [h]: 0.00
  f101 in 20-D, instance 8: FEs=1627, fbest-ftarget=-4.9135e-10, elapsed time [h]: 0.00
  f101 in 20-D, instance 9: FEs=1609, fbest-ftarget=-1.3322e-09, elapsed time [h]: 0.00
  f101 in 20-D, instance 10: FEs=1382, fbest-ftarget=-7.2326e-10, elapsed time [h]: 0.01
  f101 in 20-D, instance 11: FEs=1621, fbest-ftarget=-2.8265e-10, elapsed time [h]: 0.01
  f101 in 20-D, instance 12: FEs=1640, fbest-ftarget=-9.9953e-10, elapsed time [h]: 0.01
  f101 in 20-D, instance 13: FEs=1613, fbest-ftarget=-5.2609e-11, elapsed time [h]: 0.01
  f101 in 20-D, instance 14: FEs=1672, fbest-ftarget=-9.8022e-10, elapsed time [h]: 0.01
  f101 in 20-D, instance 15: FEs=1601, fbest-ftarget=-3.7156e-10, elapsed time [h]: 0.01
      date and time: 2010    3   19   20    9   10
  f102 in 20-D, instance 1: FEs=1719, fbest-ftarget=-1.3534e-09, elapsed time [h]: 0.01
  f102 in 20-D, instance 2: FEs=1873, fbest-ftarget=-1.6217e-10, elapsed time [h]: 0.01
  f102 in 20-D, instance 3: FEs=1701, fbest-ftarget=-2.6884e-10, elapsed time [h]: 0.01
  f102 in 20-D, instance 4: FEs=2063, fbest-ftarget=-1.9222e-10, elapsed time [h]: 0.01
  f102 in 20-D, instance 5: FEs=1633, fbest-ftarget=-4.0591e-10, elapsed time [h]: 0.01
  f102 in 20-D, instance 6: FEs=1692, fbest-ftarget=-5.1955e-10, elapsed time [h]: 0.01
  f102 in 20-D, instance 7: FEs=1759, fbest-ftarget=-1.9202e-10, elapsed time [h]: 0.01
  f102 in 20-D, instance 8: FEs=1813, fbest-ftarget=-1.0201e-09, elapsed time [h]: 0.01
  f102 in 20-D, instance 9: FEs=1692, fbest-ftarget=-3.1147e-10, elapsed time [h]: 0.01
  f102 in 20-D, instance 10: FEs=1840, fbest-ftarget=-6.2157e-10, elapsed time [h]: 0.01
  f102 in 20-D, instance 11: FEs=1634, fbest-ftarget=-6.6996e-10, elapsed time [h]: 0.01
  f102 in 20-D, instance 12: FEs=1861, fbest-ftarget=-1.0920e-10, elapsed time [h]: 0.01
  f102 in 20-D, instance 13: FEs=1875, fbest-ftarget=-2.5992e-11, elapsed time [h]: 0.01
  f102 in 20-D, instance 14: FEs=1861, fbest-ftarget=-3.3715e-10, elapsed time [h]: 0.01
  f102 in 20-D, instance 15: FEs=1608, fbest-ftarget=-6.4176e-11, elapsed time [h]: 0.01
      date and time: 2010    3   19   20    9   36
  f103 in 20-D, instance 1: FEs=1700, fbest-ftarget=-7.2458e-10, elapsed time [h]: 0.01
  f103 in 20-D, instance 2: FEs=1689, fbest-ftarget=-3.4584e-10, elapsed time [h]: 0.02
  f103 in 20-D, instance 3: FEs=1819, fbest-ftarget=-3.0101e-10, elapsed time [h]: 0.02
  f103 in 20-D, instance 4: FEs=1868, fbest-ftarget=-7.2049e-10, elapsed time [h]: 0.02
  f103 in 20-D, instance 5: FEs=1684, fbest-ftarget=-1.0958e-09, elapsed time [h]: 0.02
  f103 in 20-D, instance 6: FEs=1917, fbest-ftarget=-2.0768e-10, elapsed time [h]: 0.02
  f103 in 20-D, instance 7: FEs=1755, fbest-ftarget=-4.3599e-10, elapsed time [h]: 0.02
